OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho 
1.0,306.5,10750,10750.000000029553,1780.097070771743,2138.1614812661555,1182.18876812452,23.220578126356326,0.025395716986340022
1.0,306.5,11000,11000.000000025397,1780.7256479156936,2138.690625284879,1183.2239212375632,23.227028183760467,0.0259707927061528
1.0,306.5,11250,11250.000000021873,1781.3407505694963,2139.208379076953,1184.236987750428,23.23334651091527,0.02654553518817326
1.0,306.5,11500,11500.000000032058,1781.942956249624,2139.715231654441,1185.2289126736111,23.23953863877653,0.02711995222322946
1.0,306.5,11750,11750.000000028198,1782.5328058415523,2140.2116409804044,1186.2005811351394,23.24560975190367,0.027694051256081143
1.0,306.5,12000,12000.000000024844,1783.1108066452566,2140.698036552004,1187.152823357374,23.251564717010478,0.028267839407972967
1.0,306.5,12250,12250.000000021873,1783.677435110311,2141.174821720467,1188.086419124373,23.25740810860808,0.028841323497000738
1.0,306.5,12500,12500.000000019256,1784.23313929728,2141.642375778621,1189.002101803637,23.26314423210857,0.02941451005694574
1.0,306.5,12750,12750.000000016971,1784.7783410979193,2142.1010558437883,1189.9005619736965,23.26877714467875,0.029987405354558426
1.0,306.5,13000,13000.000000014896,1785.313438241974,2142.5511985595963,1190.7824507032071,23.27431067410342,0.03056001540547381
1.0,306.5,13250,13250.000000013115,1785.8388061147364,2142.993121637213,1191.6483825210707,23.27974843588303,0.031132345988892
1.0,306.5,13500,13500.000000009655,1786.3547994065632,2143.427125254021,1192.4989381118821,23.285093848760496,0.031704402661134855
1.0,306.5,13750,13750.000000008433,1786.8617536124702,2143.8534933250826,1193.3346667668234,23.29035014884827,0.032276190768210006
1.0,306.5,14000,14000.000000007334,1787.3599863980742,2144.272494661239,1194.1560886158752,23.295520402503456,0.03284771545741175
1.0,306.5,14250,14250.000000006465,1787.8497988458294,2144.684384025638,1194.9636966648027,23.300607518084565,0.033418981688127
1.0,306.5,14500,14500.000000005575,1788.3314765940027,2145.089403099295,1195.7579586567979,23.305614256702167,0.03398999424185235
1.0,306.5,14750,14750.000000004859,1788.805290879319,2145.487781364931,1196.5393187767124,23.310543242067645,0.03456075773152264
1.0,306.5,15000,15000.000000004253,1789.2714994928206,2145.879736917215,1197.3081992135953,23.31539696952742,0.035131276610195966
1.0,306.5,15250,15250.000000003725,1789.730347657558,2146.265477206694,1198.0650015954916,23.320177814364236,0.035701555179157116
1.0,306.5,15500,15500.000000003172,1790.182068835677,2146.645199723855,1198.8101083088152,23.32488803943504,0.03627159759548385
1.0,306.5,15750,15750.000000002723,1790.6268854715372,2147.019092628934,1199.5438837133047,23.329529802208178,0.03684140787912081
1.0,306.5,16000,16000.000000002452,1791.0650096768666,2147.3873353325566,1200.2666752623245,23.334105161256193,0.03741098991949905
1.0,306.5,16250,16250.00000000208,1791.4966438637841,2147.750099032245,1200.9788145373304,23.338616082254127,0.03798034748173537
1.0,306.5,16500,16500.000000001764,1791.9219813290563,2148.1075472074285,1201.6806182040284,23.343064443527766,0.03854948421245457
1.0,306.5,16750,16750.000000001597,1792.3412067957718,2148.4598360784908,1202.372388897605,23.347452041191822,0.039118403645246054
1.0,306.5,17000,17000.000000001368,1792.7544969148705,2148.807115031708,1203.054416042981,23.351780593914594,0.039687109205796184
1.0,306.5,17250,17250.000000001066,1793.1620207305893,2149.1495270136243,1203.7269766158643,23.356051747340437,0.04025560421671575
1.0,306.5,17500,17500.000000000942,1793.5639401126728,2149.4872088972356,1204.3903358496273,23.360267078199694,0.04082389190208419
1.0,306.5,17750,17750.000000000848,1793.960410158235,2149.8202918224397,1205.0447478925971,23.364428098132464,0.04139197539173024
1.0,306.5,18000,18000.00000000074,1794.3515795658952,2150.1489015130032,1205.6904564198646,23.368536257249403,0.041959857725271325
1.0,306.5,18250,18250.0000000006,1794.7375909843104,2150.4731585718114,1206.3276952033639,23.372592947451356,0.04252754185592504
1.0,306.5,18500,18500.000000000495,1795.1185813372322,2150.7931787562193,1206.9566886435748,23.37659950552708,0.04309503065411018
1.0,306.5,18750,18750.00000000053,1795.4946821269727,2151.109073235103,1207.577652265931,23.38055721604665,0.04366232691085076
1.0,306.5,19000,19000.00000000039,1795.8660197180354,2151.420948829111,1208.1907931847024,23.38446731406669,0.04422943334099582
1.0,306.5,19250,19250.000000000342,1796.2327156023184,2151.7289082352777,1208.7963105368904,23.388330987661835,0.04479635258627129
1.0,306.5,19500,19500.000000000196,1796.5948866474303,2152.0330502373413,1209.3943958884224,23.3921493802959,0.045363087218167494
1.0,306.5,19750,19750.00000000029,1796.952645329328,2152.3334699027646,1209.9852336147571,23.39592359304441,0.045929639740681046
1.0,306.5,20000,20000.000000000142,1797.3060999504955,2152.630258767516,1210.5690012578013,23.399654686679785,0.046496012592911626
1.0,307.0,10000,10000.00000004501,1778.1401553777703,2136.535788007028,1179.0053116138004,23.199118128635636,0.023665818506269285
1.0,307.0,10250,10250.000000038846,1778.8130438046178,2137.1023837339753,1180.113215154727,23.206000546353316,0.02424188042745774
1.0,307.0,10500,10500.000000033442,1779.4704694562427,2137.6559056709602,1181.1957760809328,23.212732226134026,0.024817583416523042
1.0,307.0,10750,10750.000000028802,1780.1131418121968,2138.1969546876744,1182.2541552352966,23.21931994464259,0.025392936458410773
1.0,307.0,11000,11000.000000024744,1780.7417222468625,2138.7260908715302,1183.2894348273676,23.225770024809716,0.02596794811132817
1.0,307.0,11250,11250.00000002126,1781.3568282990793,2139.2438371499056,1184.302625407908,23.23208837574446,0.026542626536217574
1.0,307.0,11500,11500.000000031812,1781.9590374771637,2139.7506825180003,1185.2946720852165,23.238280528334528,0.027116979523612295
1.0,307.0,11750,11750.00000002802,1782.5488906590663,2140.24708492318,1186.2664600791304,23.244351667076312,0.027691014517989478
1.0,307.0,12000,12000.000000024625,1783.126895137848,2140.733473848014,1187.2188196983252,23.250306658625437,0.02826473864032672
1.0,307.0,12250,12250.000000021695,1783.6935273567155,2141.210252630136,1188.1525308081077,23.25615007743913,0.02883815870846538
1.0,307.0,12500,12500.0000000191,1784.2492353703583,2141.6778005496876,1189.0683268525556,23.26188622887961,0.029411281255943597
1.0,307.0,12750,12750.00000001681,1784.7944410650884,2142.136474712125,1189.966898482459,23.26751917006726,0.02998411254927985
1.0,307.0,13000,13000.000000014785,1785.329542165617,2142.586611749975,1190.8488968347394,23.273052728743767,0.030556658603887846
1.0,307.0,13250,13250.000000013015,1785.8549140526056,2143.028529364036,1191.7149365028695,23.278490520369544,0.031128925198755618
1.0,307.0,13500,13500.000000009577,1786.370911412076,2143.4625277219284,1192.5655982325745,23.28383596365001,0.03170091789000234
1.0,307.0,13750,13750.000000008386,1786.8778697350526,2143.8888907295745,1193.401431372976,23.28909229466287,0.03227264202344169
1.0,307.0,14000,14000.000000007307,1787.3761066834159,2144.3078871891976,1194.2229561090244,23.294262579732806,0.03284410274618203
1.0,307.0,14250,14250.000000006376,1787.8659233361657,2144.7197718558605,1195.0306654986884,23.299349727187717,0.0334153050174313
1.0,307.0,14500,14500.000000005639,1788.347605328346,2145.124786402946,1195.8250273347771,23.304356498110018,0.03398625361851598
1.0,307.0,14750,14750.00000000483,1788.821423893681,2145.5231603059924,1196.6064858493444,23.309285516184215,0.03455695316220502
1.0,307.0,15000,15000.00000000419,1789.287636820407,2145.9151116528697,1197.3754632763905,23.314139276731897,0.03512740810139919
1.0,307.0,15250,15250.000000003656,1789.746489328967,2146.3008478877196,1198.132361286789,23.318920155012474,0.03569762273723139
1.0,307.0,15500,15500.000000003152,1790.1982148790585,2146.680566494958,1198.8775623078075,23.32363041386089,0.03626760122663302
1.0,307.0,15750,15750.000000002687,1790.6430359127785,2147.0544556290997,1199.611430738177,23.328272210724837,0.036837347589407474
1.0,307.0,16000,16000.000000002428,1791.0811645396993,2147.422694695312,1200.3343140685045,23.332847604157596,0.037406865714850565
1.0,307.0,16250,16250.000000002105,1791.5128031699799,2147.7854548860055,1201.0465439158484,23.33735855981575,0.03797615936794789
1.0,307.0,16500,16500.000000001743,1791.9381450984847,2148.142899675685,1201.7484369799713,23.341806956008085,0.03854523219519795
1.0,307.0,16750,16750.000000001477,1792.357375046544,2148.495185280087,1202.4402959286567,23.34619458883316,0.039114087730068546
1.0,307.0,17000,17000.00000000132,1792.7706696634928,2148.8424610811194,1203.1224102180518,23.35052317694392,0.03968272939812871
1.0,307.0,17250,17250.000000001088,1793.1781979919958,2149.1848700211026,1203.7950568537872,23.354794365970346,0.04025116052187535
1.0,307.0,17500,17500.000000000946,1793.5801219003495,2149.522548969041,1204.4585010979417,23.359009732629236,0.04081938432527787
1.0,307.0,17750,17750.000000000844,1793.9765964843325,2149.855629061058,1205.1129971263838,23.363170788547908,0.04138740393805916
1.0,307.0,18000,18000.00000000073,1794.3677704412607,2150.184236017275,1205.7587886406566,23.367278983824868,0.04195522239973377
1.0,307.0,18250,18250.0000000005,1794.7537864186147,2150.508490437152,1206.396109438099,23.371335710349435,0.042522842663419644
1.0,307.0,18500,18500.00000000043,1795.1347813389925,2150.8285080747264,1207.0251839436219,23.375342304899704,0.043090267599440034
1.0,307.0,18750,18750.000000000407,1795.51088670367,2151.144400095763,1207.6462277061491,23.379300052035266,0.043657499998724876
1.0,307.0,19000,19000.00000000028,1795.8822288761367,2151.4562733178905,1208.2594478625633,23.38321018680321,0.044224542576033435
1.0,307.0,19250,19250.000000000244,1796.2489293473543,2151.764230435285,1208.8650435716315,23.387073897268948,0.04479139797300387
1.0,307.0,19500,19500.00000000027,1796.6111049840385,2152.0683702289334,1209.463206420249,23.39089232688756,0.04535806876104192
1.0,307.0,19750,19750.000000000236,1796.9688682613323,2152.3687877637003,1210.0541208040854,23.394666576726216,0.045924557444060495
1.0,307.0,20000,20000.00000000021,1797.322327480899,2152.6655745730072,1210.6379642845322,23.39839770754965,0.04649086646108085
1.0,307.5,10000,10000.000000043829,1778.1562242374685,2136.571314244005,1179.0703641028776,23.19785871181264,0.02366322811746044
1.0,307.5,10250,10250.000000037833,1778.8291155499485,2137.137901023469,1180.1784021016465,23.20474114851894,0.024239225888711278
1.0,307.5,10500,10500.000000032496,1779.486544225021,2137.691414394262,1181.2610947376274,23.211472848554244,0.02481486473861524
1.0,307.5,10750,10750.000000028027,1780.1292197315463,2138.2324552047558,1182.3196029730275,23.218060588495497,0.02539015365177105
